"","created_date","closed_date","location_type","incident_zip","city","borough","latitude","longitude","puma","pct_fam","pct_kid","pct_old","pct_hs","pct_bachlor","pct_usborn","pct_nyborn","pct_diffstateborn","pct_difflang","pct_english_not_great","avg_size","pct_vacant","pct_female","pct_under_5","pct_5to9","pct_10to14","pct_15to19","pct_20to24","pct_25to35","pct_35to44","pct_45to54","pct_55to59","pct_60to64","pct_65to74","pct_74to84","pct_85plus","pct_white","pct_black","pct_americanindian","pct_asian","pct_nativeislander","pct_hispanic","median_age","median_household_income","mean_household_income","median_income","percent_unemployed","percent_poverty_line","time_complete","num_of_incidents","modal_location","avg_time_complete"
"42",2015-12-31 00:31:00,2015-12-31 01:44:00,"Club/Bar/Restaurant",11103,"ASTORIA","QUEENS",40.76577062,-73.91898768,4101,"51.20%","21.90%","22.50%","23.10%","25.50%","54.70%","41.80%","12.90%","59.80%","25.80%",2.34,"9.00%","50.80%","4.70%","4.10%","4.30%","4.70%","8.70%","24.50%","15.10%","12.60%","4.70%","4.30%","6.20%","4.70%","1.40%","68.00%","8.80%","0.90%","14.30%","0.20%","28.60%",34.5,"49,432","63,775","32,401","7.40%","18.70%",73,4511,"Residential Building/House",254.502440106477
"43",2015-12-31 00:14:00,2015-12-31 06:25:00,"Store/Commercial",11372,"JACKSON HEIGHTS","QUEENS",40.7555836,-73.88520105,4102,"66.20%","36.40%","24.40%","30.40%","13.30%","34.70%","31.40%","3.30%","83.90%","49.30%",3.24,"8.70%","47.60%","6.90%","6.00%","5.00%","5.40%","8.60%","18.90%","16.20%","13.70%","5.30%","4.10%","5.30%","3.20%","1.40%","46.30%","7.90%","1.30%","18.00%","0.20%","65.00%",34.6,"46,119","59,757","23,699","6.20%","22.60%",371,2487,"Residential Building/House",165.80933226066
"44",2015-12-31 00:22:00,2015-12-31 06:06:00,"Residential Building/House",11355,"FLUSHING","QUEENS",40.75812391,-73.82884714,4103,"71.10%","29.50%","34.30%","27.70%","20.10%","42.90%","39.90%","3.00%","72.50%","42.80%",2.86,"7.20%","51.60%","5.10%","4.90%","4.30%","5.30%","6.40%","14.30%","13.60%","15.70%","7.00%","6.10%","8.50%","5.80%","2.80%","37.60%","3.00%","0.80%","52.20%","N","16.60%",42,"52,438","70,275","30,398","6.30%","14.20%",344,2257,"Residential Building/House",146.074435090829
"45",2015-12-31 22:44:00,2015-12-31 23:19:00,"Residential Building/House",11363,"LITTLE NECK","QUEENS",40.77404785,-73.73898847,4104,"69.70%","30.20%","32.30%","22.20%","27.20%","55.10%","50.60%","4.50%","60.10%","28.60%",2.72,"5.20%","52.00%","5.50%","4.90%","5.70%","5.30%","5.00%","13.10%","13.80%","16.10%","7.30%","6.60%","8.70%","4.90%","3.20%","53.60%","2.80%","0.60%","41.10%","N","12.30%",42.8,"74,143","88,411","41,594","5.50%","8.50%",35,400,"Residential Building/House",111.461152882206
"46",2015-12-31 19:46:00,2015-12-31 23:22:00,"Residential Building/House",11427,"QUEENS VILLAGE","QUEENS",40.72317627,-73.75643623,4105,"78.00%","39.60%","33.00%","28.90%","19.00%","56.30%","50.20%","6.10%","34.10%","11.70%",3.28,"5.30%","53.40%","5.40%","5.30%","5.60%","6.80%","7.90%","13.50%","12.20%","16.00%","7.00%","6.40%","7.00%","4.50%","2.30%","20.20%","59.90%","1.40%","17.20%","0.40%","10.80%",40,"76,168","88,502","36,053","6.70%","9.00%",216,2244,"Residential Building/House",369.611680784663
"47",2015-12-31 10:56:00,2015-12-31 15:37:00,"Residential Building/House",11365,"FRESH MEADOWS","QUEENS",40.73491319,-73.81062326,4106,"66.90%","30.70%","27.90%","21.30%","25.80%","51.90%","46.20%","5.80%","58.30%","23.70%",2.72,"6.50%","52.20%","6.30%","5.40%","5.70%","6.50%","7.40%","14.00%","12.90%","14.70%","7.40%","5.40%","8.00%","4.40%","2.00%","43.60%","14.50%","1.00%","33.20%","0.20%","18.70%",38.6,"58,394","74,537","35,477","7.10%","15.50%",281,1970,"Residential Building/House",193.324022346369
"48",2015-12-31 00:45:00,2015-12-31 01:16:00,"Street/Sidewalk",11368,"CORONA","QUEENS",40.74218007,-73.85086894,4107,"70.20%","36.60%","24.80%","27.30%","13.90%","32.40%","29.40%","3.00%","85.70%","54.20%",3.15,"7.30%","48.30%","6.40%","5.90%","4.80%","5.30%","8.20%","18.80%","16.70%","13.20%","5.40%","4.70%","6.10%","3.70%","0.90%","44.20%","8.20%","0.80%","34.20%","0.30%","50.70%",35.3,"44,412","59,064","24,042","4.40%","22.40%",31,3655,"Residential Building/House",145.04952120383
"49",2015-12-31 00:19:00,2015-12-31 02:18:00,"Club/Bar/Restaurant",11375,"FOREST HILLS","QUEENS",40.71924727,-73.84237049,4108,"55.40%","22.10%","27.70%","18.00%","29.60%","48.90%","43.10%","5.80%","62.50%","25.70%",2.19,"6.60%","53.30%","6.30%","4.80%","4.50%","3.30%","3.90%","17.00%","15.80%","13.90%","7.30%","6.50%","8.10%","5.70%","3.00%","67.50%","3.70%","0.60%","26.00%","0.20%","13.50%",40.7,"62,155","81,919","50,039","4.50%","10.00%",119,851,"Residential Building/House",185.337250293772
"50",2015-12-31 19:52:00,2015-12-31 23:06:00,"Residential Building/House",11104,"SUNNYSIDE","QUEENS",40.74016181,-73.92671602,4109,"56.60%","26.50%","19.30%","23.60%","23.50%","41.30%","34.50%","6.80%","73.60%","38.50%",2.57,"7.80%","50.60%","5.30%","5.30%","4.20%","4.50%","7.20%","22.00%","17.90%","12.90%","5.60%","5.20%","5.70%","3.00%","1.30%","51.10%","2.90%","0.90%","36.80%","0.30%","33.50%",35.8,"51,836","68,709","31,329","4.90%","14.50%",194,1992,"Residential Building/House",358.98694123556
"51",2015-12-31 01:19:00,2015-12-31 05:26:00,"Residential Building/House",11385,"RIDGEWOOD","QUEENS",40.69961626,-73.90109,4110,"67.50%","33.50%","25.60%","33.90%","15.40%","58.50%","56.10%","2.50%","54.00%","24.20%",2.76,"8.00%","51.10%","6.60%","5.50%","6.30%","6.10%","6.50%","15.70%","15.00%","13.80%","6.30%","5.60%","7.00%","3.70%","2.10%","83.00%","2.40%","0.50%","7.80%","0.10%","36.70%",37,"53,454","66,891","35,914","5.10%","15.70%",247,2855,"Residential Building/House",277.709428671574
"52",2015-12-31 06:13:00,2015-12-31 12:26:00,"Residential Building/House",11415,"KEW GARDENS","QUEENS",40.70874046,-73.82902083,4111,"74.70%","41.10%","21.90%","29.10%","17.00%","45.30%","42.20%","3.00%","59.00%","25.20%",3.28,"9.10%","50.60%","6.80%","6.00%","6.00%","7.00%","8.10%","16.50%","14.40%","14.20%","6.30%","5.50%","5.30%","2.40%","1.30%","37.40%","11.30%","1.00%","26.80%","0.20%","41.00%",34.7,"57,117","72,267","30,820","7.80%","15.60%",373,3416,"Residential Building/House",281.462664714495
"53",2015-12-31 00:50:00,2015-12-31 07:33:00,"Residential Building/House",11435,"JAMAICA","QUEENS",40.70569681,-73.80830054,4112,"73.70%","42.60%","29.20%","31.20%","13.20%","55.60%","47.30%","8.30%","29.50%","15.40%",3.23,"8.40%","53.90%","6.30%","6.30%","6.90%","7.70%","7.10%","14.20%","13.80%","14.70%","6.20%","5.10%","6.60%","3.50%","1.60%","6.20%","67.10%","1.00%","12.00%","0.30%","19.00%",36,"50,857","64,332","29,720","9.80%","18.00%",403,4469,"Residential Building/House",216.854297224709
"54",2015-12-31 00:20:00,2015-12-31 01:40:00,"Residential Building/House",11417,"OZONE PARK","QUEENS",40.67771292,-73.83232708,4113,"78.60%","39.80%","29.40%","36.10%","14.30%","50.60%","47.20%","3.50%","34.50%","12.90%",3.31,"5.40%","52.50%","5.60%","5.60%","6.30%","6.30%","8.20%","13.90%","14.30%","15.20%","7.30%","5.10%","7.00%","3.60%","1.70%","36.80%","18.30%","1.80%","22.20%","0.40%","23.50%",38.5,"59,144","75,648","30,690","7.00%","13.60%",80,4694,"Residential Building/House",214.919045590115
"55",2015-12-31 00:55:00,2015-12-31 01:54:00,"Residential Building/House",11691,"FAR ROCKAWAY","QUEENS",40.59425326,-73.75121009,4114,"67.30%","39.70%","26.80%","27.40%","14.50%","71.10%","63.80%","7.20%","30.50%","13.70%",2.88,"11.70%","53.10%","8.00%","7.40%","7.70%","7.10%","7.40%","12.70%","12.20%","13.30%","5.50%","4.90%","7.20%","4.80%","1.90%","49.00%","41.00%","0.90%","3.40%","0.20%","22.70%",34.9,"47,218","65,943","32,844","7.70%","20.90%",59,2424,"Residential Building/House",125.258663366337
"56",2015-12-31 00:38:00,NA,"Residential Building/House",NA,"","Unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1139,"Street/Sidewalk",-436985.322195704
